form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
döglötök	33	dög	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	2240613	8570080167	dögöltök	3	8.5	2.1400661634962708
döglenek	1232	dög	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	2240613	8570080167	dögölnek	36	33.32432432432432	3.50628759052012
döglöttek	533	dög	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	2240613	8570080167	dögöltek	16	31.41176470588235	3.447182494903979
dohányzani	5	dohány	[/V][Inf]	cselekszenek/cselekednek	3237991	8570080167	dohányozni	13090	4.583301504850661e-4	-7.687920780952044
dohányzanak	5	dohány	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3237991	8570080167	dohányoznak	6202	9.672738997259391e-4	-6.941028855745063
dohányztak	1	dohány	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	3237991	8570080167	dohányoztak	2094	9.546539379474941e-4	-6.9541616517962925
elégszetek	9	elég	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	17691020	8570080167	elégedtek	2633	0.0037965072133637054	-5.573673789309181
elégszenek	2712	elég	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	17691020	8570080167	elégednek	2440	1.1114297419090537	0.10564724226597175
elporzani	10	elpor	[/V][Inf]	cselekszenek/cselekednek	5052	8570080167	elporozni	13	0.7857142857142857	-0.2411620568168881
elporzanak	16	elpor	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	5052	8570080167	elporoznak	29	0.5666666666666667	-0.5679840376059393
elporzottak	27	elpor	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	5052	8570080167	elporoztak	28	0.9655172413793104	-0.03509131981127006
emlékszeni	2	emlék	[/V][Inf]	cselekszenek/cselekednek	100073966	8570080167	emlékezni	66844	4.487994614406463e-5	-10.011519496749113
emlékszetek	58	emlék	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	100073966	8570080167	emlékeztek	70251	8.398337413881455e-4	-7.082306612635906
emlékszenek	241	emlék	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	100073966	8570080167	emlékeznek	82100	0.002947588945323443	-5.826767749477621
fajzani	1	faj	[/V][Inf]	cselekszenek/cselekednek	3278	8570080167	fajozni	2	0.6666666666666666	-0.40546510810816444
fajzanak	6	faj	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3278	8570080167	fajoznak	1	3.5	1.252762968495368
fejleni	29	fej	[/V][Inf]	cselekszenek/cselekednek	6037149	8570080167	fejelni	2612	0.011481056257175661	-4.467056883858457
fejletek	16	fej	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	6037149	8570080167	fejeltek	341	0.049707602339181284	-3.001597393006389
fejlenek	73	fej	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	6037149	8570080167	fejelnek	211	0.3490566037735849	-1.0525211814678428
fejlettek	20	fej	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	6037149	8570080167	fejeltek	78	0.26582278481012656	-1.3249254147435987
fekszene	8	fek	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	141455438	8570080167	feküdne	2048	0.004392386530014641	-5.42788257090268
fekszeni	5	fek	[/V][Inf]	cselekszenek/cselekednek	141455438	8570080167	feküdni	19669	3.050330452465684e-4	-8.09509044215505
fekszetek	444	fek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	141455438	8570080167	feküsztök	128	3.449612403100775	1.238261877804568
fekszenek	20974	fek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	141455438	8570080167	feküsznek	1781	11.770482603815937	2.465594923304652
fényleni	1286	fény	[/V][Inf]	cselekszenek/cselekednek	960464	8570080167	fényelni	34	36.77142857142857	3.604721146106713
fényletek	75	fény	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	960464	8570080167	fényeltek	2	25.333333333333332	3.2321210516182215
fénylenek	2007	fény	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	960464	8570080167	fényelnek	16	118.11764705882354	4.7716811367554035
feslene	8	fes	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	32180	8570080167	feselne	10	0.8181818181818182	-0.2006706954621511
fesleni	92	fes	[/V][Inf]	cselekszenek/cselekednek	32180	8570080167	feselni	6	13.285714285714286	2.586689344097943
feslenek	97	fes	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	32180	8570080167	feselnek	7	12.25	2.505525936990736
feslettek	49	fes	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	32180	8570080167	feseltek	2	16.666666666666668	2.8134107167600364
fogzana	2	fog	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	104812	8570080167	fogazna	2	1	0
fogzani	100	fog	[/V][Inf]	cselekszenek/cselekednek	104812	8570080167	fogazni	32	3.0606060606060606	1.1186129553747792
fogzanak	22	fog	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	104812	8570080167	fogaznak	10	2.090909090909091	0.7375989431307791
fogzottak	4	fog	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	104812	8570080167	fogaztak	2	1.6666666666666667	0.5108256237659907
foszlana	148	fosz	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	485736	8570080167	foszolna	1	74.5	4.310799125385514
foszlani	532	fosz	[/V][Inf]	cselekszenek/cselekednek	485736	8570080167	foszolni	5	88.83333333333333	4.48676195493779
foszlanak	889	fosz	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	485736	8570080167	foszolnak	8	98.88888888888889	4.593996885389966
foszlottak	518	fosz	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	485736	8570080167	foszoltak	1	259.5	5.558756702605943
fuldoklana	4	fuldok	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	514572	8570080167	fuldokolna	133	0.03731343283582089	-3.288401887516811
fuldoklani	141	fuldok	[/V][Inf]	cselekszenek/cselekednek	514572	8570080167	fuldokolni	1257	0.11287758346581876	-2.181451379659125
fuldoklotok	2	fuldok	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokoltok	28	0.10344827586206896	-2.268683541318364
fuldoklanak	77	fuldok	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokolnak	662	0.11764705882352941	-2.1400661634962708
fuldoklottak	13	fuldok	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	514572	8570080167	fuldokoltak	241	0.05785123966942149	-2.849880396541428
fürdene	142	für	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	12697712	8570080167	fürödne	222	0.6412556053811659	-0.44432714120021155
fürdeni	25400	für	[/V][Inf]	cselekszenek/cselekednek	12697712	8570080167	fürödni	13577	1.870746796288113	0.6263377074487945
fürdötök	21	für	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	12697712	8570080167	fürödtök	53	0.4074074074074074	-0.8979415932059586
fürdenek	3352	für	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	12697712	8570080167	fürödnek	790	4.238938053097345	1.4443127786985748
furakszanak	31	furak	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	317388	8570080167	furakodnak	364	0.08767123287671233	-2.434161450782765
gyanakszana	2	gyanak	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	6072457	8570080167	gyanakodna	363	0.008241758241758242	-4.7985415789686305
gyanakszotok	6	gyanak	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	6072457	8570080167	gyanakodtok	50	0.13725490196078433	-1.9859154836690123
gyanakszanak	1693	gyanak	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	6072457	8570080167	gyanakodnak	3106	0.5452204699066624	-0.6065650341810477
gyarapdni	1	gyarap	[/V][Inf]	cselekszenek/cselekednek	7383526	8570080167	gyarapodni	5457	3.6643459142543056e-4	-7.911690520708339
gyarapszanak	254	gyarap	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	7383526	8570080167	gyarapodnak	4923	0.051787164906580016	-2.960612942145918
habzana	48	hab	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	3918266	8570080167	habozna	376	0.129973474801061	-2.0404248893373844
habzani	939	hab	[/V][Inf]	cselekszenek/cselekednek	3918266	8570080167	habozni	3208	0.2929261452165784	-1.2278347658458073
habzotok	2	hab	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	3918266	8570080167	haboztok	43	0.06818181818181818	-2.6855773452501515
habzanak	386	hab	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3918266	8570080167	haboznak	1210	0.319570602807597	-1.1407770505233104
habzottak	47	hab	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	3918266	8570080167	haboztak	1118	0.04289544235924933	-3.1489896974040343
haldoklana	27	haldok	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	1552626	8570080167	haldokolna	223	0.125	-2.0794415416798357
haldoklani	133	haldok	[/V][Inf]	cselekszenek/cselekednek	1552626	8570080167	haldokolni	1065	0.12570356472795496	-2.0738288047748785
haldoklotok	1	haldok	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokoltok	22	0.08695652173913043	-2.4423470353692043
haldoklanak	255	haldok	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokolnak	814	0.3141104294478528	-1.1580106687613
haldoklottak	21	haldok	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	1552626	8570080167	haldokoltak	283	0.07746478873239436	-2.55793178480289
