base	cat1_weight	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	lemma_freq_corrected	stem_vowel	long_cluster	consonants
fojlegy	0.40428920739261026	fojle©	hotelban/hotelben	nonce word response	fojlegynak	fojlegynek	1	28	-2.6741486494265287	NA	NA	e	nak	NA	o	TRUE	NA
forzéd	0.8039851322546633	forzéd	hotelban/hotelben	nonce word response	forzédnak	forzédnek	13	16	-0.1941560144409575	NA	NA	é	nak	NA	o	TRUE	NA
fupét	0.6757343259588329	fupét	hotelban/hotelben	nonce word response	fupétnál	fupétnél	12	17	-0.325422400434628	NA	NA	é	nál	NA	u	FALSE	NA
gábéd	0.6352548507489385	gábéd	hotelban/hotelben	nonce word response	gábédnál	gábédnél	20	7	0.965080896043587	NA	NA	é	nál	NA	á	FALSE	NA
garcép	0.7449927282961817	garcép	hotelban/hotelben	nonce word response	garcépnál	garcépnél	14	15	-0.06453852113757118	NA	NA	é	nál	NA	a	TRUE	NA
gicéj	0.7322840084319927	gicéj	hotelban/hotelben	nonce word response	gicéjnál	gicéjnél	1	25	-2.5649493574615367	NA	NA	é	nál	NA	i	FALSE	NA
giheszt	0.44960481474266156	giheßt	hotelban/hotelben	nonce word response	gihesztnak	gihesztnek	2	27	-2.2335922215070942	NA	NA	e	nak	NA	i	FALSE	NA
gonszék	0.790796781295457	gonßék	hotelban/hotelben	nonce word response	gonszéknál	gonszéknél	9	18	-0.6418538861723948	NA	NA	é	nál	NA	o	TRUE	NA
gótem	0.5478598015817142	gótem	hotelban/hotelben	nonce word response	gótemnak	gótemnek	5	21	-1.2992829841302609	NA	NA	e	nak	NA	ó	FALSE	NA
gúden	0.4217734336807209	gúden	hotelban/hotelben	nonce word response	gúdenban	gúdenben	2	27	-2.2335922215070942	NA	NA	e	ban	NA	ú	FALSE	NA
hágyét	0.6826535455244755	há©ét	hotelban/hotelben	nonce word response	hágyétnak	hágyétnek	13	13	0	NA	NA	é	nak	NA	á	FALSE	NA
hijegy	0.4935676079335913	hije©	hotelban/hotelben	nonce word response	hijegynál	hijegynél	3	24	-1.8325814637483104	NA	NA	e	nál	NA	i	FALSE	NA
hivép	0.7581542547711083	hivép	hotelban/hotelben	nonce word response	hivépban	hivépben	4	23	-1.5686159179138452	NA	NA	é	ban	NA	i	FALSE	NA
hóbens	0.434520642177708	hóbens	hotelban/hotelben	nonce word response	hóbensban	hóbensben	5	22	-1.3437347467010947	NA	NA	e	ban	NA	ó	FALSE	NA
hosét	0.7789521849229916	hosét	hotelban/hotelben	nonce word response	hosétnak	hosétnek	14	13	0.06899287148695142	NA	NA	é	nak	NA	o	FALSE	NA
humék	0.7544494225873628	humék	hotelban/hotelben	nonce word response	huméknak	huméknek	13	13	0	NA	NA	é	nak	NA	u	FALSE	NA
ikszert	0.4280678776187579	ikßert	hotelban/hotelben	nonce word response	ikszertban	ikszertben	0	29	-3.4011973816621555	NA	NA	e	ban	NA	i	TRUE	NA
incéj	0.7494855863513231	incéj	hotelban/hotelben	nonce word response	incéjnak	incéjnek	2	25	-2.159484249353372	NA	NA	é	nak	NA	i	TRUE	NA
ítens	0.5506243411293423	ítens	hotelban/hotelben	nonce word response	ítensban	ítensben	4	25	-1.6486586255873816	NA	NA	e	ban	NA	í	FALSE	NA
jábéz	0.6933898934886656	jábéz	hotelban/hotelben	nonce word response	jábézban	jábézben	16	13	0.1941560144409574	NA	NA	é	ban	NA	á	FALSE	NA
jalrény	0.7441988622724821	jalré¥	hotelban/hotelben	nonce word response	jalrénynál	jalrénynél	13	14	-0.06899287148695143	NA	NA	é	nál	NA	a	TRUE	NA
jóbec	0.42412165194518797	jóbec	hotelban/hotelben	nonce word response	jóbecnak	jóbecnek	8	21	-0.8938178760220964	NA	NA	e	nak	NA	ó	FALSE	NA
jorzég	0.828213657373235	jorzég	hotelban/hotelben	nonce word response	jorzégnak	jorzégnek	10	17	-0.49247648509779407	NA	NA	é	nak	NA	o	TRUE	NA
júder	0.33412135068234267	júder	hotelban/hotelben	nonce word response	júdernak	júdernek	10	19	-0.5978370007556204	NA	NA	e	nak	NA	ú	FALSE	NA
jukél	0.6494130224070948	jukél	hotelban/hotelben	nonce word response	jukélnál	jukélnél	12	15	-0.2076393647782445	NA	NA	é	nál	NA	u	FALSE	NA
jurdent	0.3108828704888601	jurdent	hotelban/hotelben	nonce word response	jurdentnál	jurdentnél	7	19	-0.916290731874155	NA	NA	e	nál	NA	u	TRUE	NA
jutély	0.7559177405134487	juté¬	hotelban/hotelben	nonce word response	jutélynál	jutélynél	19	8	0.7985076962177716	NA	NA	é	nál	NA	u	FALSE	NA
kábesz	0.32029711891796936	kábeß	hotelban/hotelben	nonce word response	kábesznál	kábesznél	11	15	-0.2876820724517809	NA	NA	e	nál	NA	á	FALSE	NA
kadér	0.7607694216006827	kadér	hotelban/hotelben	nonce word response	kadérnál	kadérnél	19	8	0.7985076962177716	NA	NA	é	nál	NA	a	FALSE	NA
kalhész	0.7722506928324202	kalhéß	hotelban/hotelben	nonce word response	kalhésznak	kalhésznek	13	14	-0.06899287148695143	NA	NA	é	nak	NA	a	TRUE	NA
kalréz	0.7621114087227788	kalréz	hotelban/hotelben	nonce word response	kalrézban	kalrézben	16	13	0.1941560144409574	NA	NA	é	ban	NA	a	TRUE	NA
kaszép	0.7818396879967707	kaßép	hotelban/hotelben	nonce word response	kaszépnak	kaszépnek	11	16	-0.3483066942682157	NA	NA	é	nak	NA	a	FALSE	NA
