my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,,,,,,,,,,sprogzok,sprogzom,right,4.556,0,90,90,89,1,90,sprogzik,sprogzol,NA,NA,Te bizony sokat sprogzol.,Én is sokat...,sprogzok,sprogzom,lakik,-zik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,zihencnek,zihencnak,left,3.467,0,91,91,52,1,107,zihenc,zihenc,nak,e,Ez itt egy zihenc.,Elneveztem a kutyámat...,zihencnek,zihencnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,spizecnak,spizecnek,right,5.462,0,92,92,6,1,61,spizec,spizec,nak,e,Ez itt egy spizec.,Elneveztem a kutyámat...,spizecnek,spizecnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,jábézben,jábézban,left,3.244,0,93,93,34,1,89,jábéz,jábéz,ban,é,Ez itt egy jábéz.,Ott vagyunk a...,jábézben,jábézban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,spiharoztok,spiharzotok,right,6.467,0,94,94,127,1,74,spiharzik / spiharozik,"spiharzik, spiharozni",tek,NA,"János imád spiharozni, ezért sokat spiharzik.",Ti ritkán...,spiharzotok,spiharoztok,cselekszik,-zik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,branylanak,branyoznak,left,6.62,0,95,95,136,1,83,branylik / branyozik,"branylik, branyozni",nek,NA,"János imád branyozni, ezért sokat branylik.",Ők ritkán...,branylanak,branyoznak,cselekszik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,bribékedtek,bribékszetek,right,7.176,0,96,96,141,1,88,bribékszik / bribékedik,"bribékszik, bribékedni",tek,NA,"János imád bribékedni, ezért sokat bribékszik.",Ti ritkán...,bribékszetek,bribékedtek,cselekszik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,fröjözünk,fröjlünk,right,5.254,0,97,97,117,1,64,fröjlik / fröjözik,"fröjlik, fröjözni",ünk,NA,"János imád fröjözni, ezért sokat fröjlik.",Mi ritkán...,fröjlünk,fröjözünk,cselekszik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,gúdenben,gúdenban,left,4.094,0,98,98,4,1,59,gúden,gúden,ban,e,Ez itt egy gúden.,Ott vagyunk a...,gúdenben,gúdenban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,zsigénnál,zsigénnél,right,3.229,0,99,99,12,1,67,zsigén,zsigén,nál,é,Ez itt egy zsigén.,Nincs is jobb egy jó...,zsigénnél,zsigénnál,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
