my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,16.8208,space,8.6847,right,9.4328,space,6.1222,right,4.2871,space,1.0316,left,8.7232,space,0.7361,huroslom,huroslok,right,5.8414,0,0,0,76,1,77,huroslik,huroslasz,NA,NA,Te bizony sokat huroslasz.,Én is sokat...,huroslok,huroslom,lakik,-lik,2,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,lorjódzok,lorjódzom,right,4.8122,0,1,1,88,1,89,lorjódzik,lorjódzol,NA,NA,Te bizony sokat lorjódzol.,Én is sokat...,lorjódzok,lorjódzom,lakik,-zik,2,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,nyábétben,nyábétban,left,13.0297,0,2,2,21,1,76,nyábét,nyábét,ban,é,Ez itt egy nyábét.,Ott vagyunk a...,nyábétben,nyábétban,dzsungel,NA,NA,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,szirlom,szirlok,right,7.6188,0,3,3,62,1,63,szirlik,szirlasz,NA,NA,Te bizony sokat szirlasz.,Én is sokat...,szirlok,szirlom,lakik,-lik,1,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,brágaklok,brágaklom,right,19.9811,0,4,4,71,1,72,brágaklik,brágaklasz,NA,NA,Te bizony sokat brágaklasz.,Én is sokat...,brágaklok,brágaklom,lakik,-lik,2,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,nyádoznak,nyádlanak,right,13.0987,0,5,5,120,1,67,nyádlik / nyádozik,"nyádlik, nyádozni",nek,NA,"János imád nyádozni, ezért sokat nyádlik.",Ők ritkán...,nyádlanak,nyádoznak,cselekszik,-lik,1,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,csíszlok,csíszlom,left,7.5809,0,6,6,84,1,85,csíszlik,csíszlasz,NA,NA,Te bizony sokat csíszlasz.,Én is sokat...,csíszlok,csíszlom,lakik,-lik,1,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,drojozunk,drojzunk,right,8.0633,0,7,7,140,1,87,drojzik / drojozik,"drojzik, drojozni",ünk,NA,"János imád drojozni, ezért sokat drojzik.",Mi ritkán...,drojzunk,drojozunk,cselekszik,-zik,1,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,flehékszem,flehékszek,right,5.2327,0,8,8,77,1,78,flehékszik,flehékszel,NA,NA,Te bizony sokat flehékszel.,Én is sokat...,flehékszek,flehékszem,lakik,-szik,2,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
,,,,,,,,,,,,,,,,,friszlom,friszlok,right,4.2765,0,9,9,97,1,98,friszlik,friszlasz,NA,NA,Te bizony sokat friszlasz.,Én is sokat...,friszlok,friszlom,lakik,-lik,1,L0PVAK,2002,nő,nem,2022-04-19_21h37.19.394,hesp_baseline,2021.2.3,MacIntel,60.04202942
