effect	group	term	estimate	std.error	statistic	p.value	conf.low	conf.high
fixed	NA	(Intercept)	0.69166346622155	0.06333596572828613	10.920548195141041	9.193919995202039e-28	0.567527254468046	0.8157996779750539
fixed	NA	reg_ratelow	-0.06095937534398984	0.05928677496992389	-1.028212031686906	0.30385009999888046	-0.17715931904457138	0.05524056835659171
fixed	NA	reg_distreversed	-0.5334944657114388	0.059354859458700664	-8.988218834595106	2.5126934193163566e-19	-0.6498278525579286	-0.4171610788649489
fixed	NA	scale(abs_baseline_log_odds_jitter)	0.14165439059496068	0.03777783388791254	3.749669475895617	1.7706779765030325e-4	0.06761119676071536	0.215697584429206
fixed	NA	variationcselekszenek/cselekednek	-0.11252278869527264	0.06699611551289514	-1.6795419829021985	0.09304646390362539	-0.2438327622046323	0.01878718481408702
fixed	NA	scale(i)	0.08198287520812665	0.022666474707188092	3.6169221842922	2.9812688124818083e-4	0.037557401125549936	0.12640834929070338
fixed	NA	reg_distreversed:scale(abs_baseline_log_odds_jitter)	-0.5417471928661746	0.04820589824247578	-11.238193097060135	2.6474563533248106e-29	-0.6362290172638297	-0.4472653684685194
ran_pars	base	sd__(Intercept)	0.2414594614651292	NA	NA	NA	NA	NA
ran_pars	part_id	sd__(Intercept)	0.2498715922367937	NA	NA	NA	NA	NA
