my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,,,,,,,,,,szirlom,szirlok,left,3.158,0,16,16,62,1,63,szirlik,szirlasz,NA,NA,Te bizony sokat szirlasz.,Én is sokat...,szirlok,szirlom,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,flűröklöm,flűröklök,left,3.675,0,17,17,91,1,92,flűröklik,flűröklesz,NA,NA,Te bizony sokat flűröklesz.,Én is sokat...,flűröklök,flűröklöm,lakik,-lik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,tögöznek,töglenek,right,11.89,0,18,18,156,1,103,töglik / tögözik,"töglik, tögözni",nek,NA,"János imád tögözni, ezért sokat töglik.",Ők ritkán...,töglenek,tögöznek,cselekszik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,rapszeknél,rapszeknál,left,3.276,0,19,19,35,1,90,rapszek,rapszek,nál,e,Ez itt egy rapszek.,Nincs is jobb egy jó...,rapszeknél,rapszeknál,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,metégszenek,metégednek,right,7.34,0,20,20,112,1,59,metégszik / metégedik,"metégszik, metégedni",nek,NA,"János imád metégedni, ezért sokat metégszik.",Ők ritkán...,metégszenek,metégednek,cselekszik,-szik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,juszlom,juszlok,left,2.87,0,21,21,79,1,80,juszlik,juszlasz,NA,NA,Te bizony sokat juszlasz.,Én is sokat...,juszlok,juszlom,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,floglok,floglom,right,3.366,0,22,22,92,1,93,floglik,floglasz,NA,NA,Te bizony sokat floglasz.,Én is sokat...,floglok,floglom,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,ítensben,ítensban,left,3.053,0,23,23,50,1,105,ítens,ítens,ban,e,Ez itt egy ítens.,Ott vagyunk a...,ítensben,ítensban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,csintékban,csintékben,right,2.716,0,24,24,23,1,78,csinték,csinték,ban,é,Ez itt egy csinték.,Ott vagyunk a...,csintékben,csintékban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,flibekszek,flibekszem,right,4.356,0,25,25,93,1,94,flibekszik,flibekszel,NA,NA,Te bizony sokat flibekszel.,Én is sokat...,flibekszek,flibekszem,lakik,-szik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
