base	variation	rule1	impugned_lower_confidence_limit1	rule2	impugned_lower_confidence_limit2	weight
dárakszik / dárakodik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → odVnk / ak__#	0.7910111568432924	0.5582821944065152
döjlik / döjözik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
düjzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
femlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
feténylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
fibamlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
figlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
filágzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
filánylik / filányozik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
fivénylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flagánylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flagárzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
flehékszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ks__#	0.812905409770916	0.37409297471948166
flehénylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flemlik / flemezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
flerékszik / flerékedik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → edVnk / __#	0.13739397049231497	0.8791762913270178
flibekszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / eks__#	0.9076626376108516	0.3486552442590644
fligzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
fliraklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flitlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flivegzik / flivegezik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
flodlik / flodozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
floglik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
fluboklik / flubokozik	cselekszenek/cselekednek	iK → VtVk / kl__#	0.9588618187208864	NA	NA	1
flugonylik / flugonyozik	cselekszenek/cselekednek	iK → VnVk / ṉl__#	0.8421201310208906	NA	NA	1
flátlik / flátozik	cselekszenek/cselekednek	iK → VtVk / tl__#	0.9447216688778396	NA	NA	1
flátszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ts__#	0.9447216688778396	0.33962336576908697
flérlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
flézlik / flézezik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
flöklik / flöközik	cselekszenek/cselekednek	iK → VtVk / kl__#	0.9588618187208864	NA	NA	1
