base	variation	rule1	impugned_lower_confidence_limit1	rule2	impugned_lower_confidence_limit2	weight
ribegszik / ribegedik	cselekszenek/cselekednek	iK → VtVk / gs__#	0.9639743269298298	siK → edtVk / __#	0.15089826334371473	0.86464976835901
ribegzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
ribzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
riványlik / riványozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
rokszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ks__#	0.812905409770916	0.37409297471948166
ruslik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
rájzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
salárzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
siladzik	lakok/lakom	iK → Vk / dz__#	0.7492205435320619	iK → Vm / __#	0.4765897838793942	0.6112043003538655
sojzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spalárzik / spalározik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
spatszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ts__#	0.9447216688778396	0.33962336576908697
spatárzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spibaklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spibamlik / spibamozik	cselekszenek/cselekednek	iK → VnVk / ml__#	0.9147494740469476	NA	NA	1
spibeglik / spibegezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
spibádzik	lakok/lakom	iK → Vk / dz__#	0.7492205435320619	iK → Vm / __#	0.4765897838793942	0.6112043003538655
spiharzik / spiharozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	iK → tVk / z__#	0.9736536503603822	0.46679922890196723
spihegzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spihemlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spilágzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spiráglik / spirágozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
spivejlik / spivejezik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
sponylik / sponyozik	cselekszenek/cselekednek	iK → VnVk / ṉl__#	0.8421201310208906	NA	NA	1
sprebzik / sprebezik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
sprigzik / sprigozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	iK → tVk / z__#	0.9736536503603822	0.46679922890196723
sprimlik / sprimozik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
sprogzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
sprozlik / sprozozik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
sprudlik / sprudozik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
sprálszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / s__#	0.5863829779908971	0.45312410514513
sprédlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spröbzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
sprökszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ks__#	0.812905409770916	0.37409297471948166
sprűrlik / sprűrözik	cselekszenek/cselekednek	iK → VnVk / rl__#	0.8421201310208906	NA	NA	1
spubonylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spuborzik / spuborozik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
spáraklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spélszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / s__#	0.5863829779908971	0.45312410514513
spéslik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spírzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spöklik / spöközik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
spügzik / spügözik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
spüjzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spülöklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spülőrzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
spülűdzik	lakok/lakom	iK → Vk / dz__#	0.7492205435320619	iK → Vm / __#	0.4765897838793942	0.6112043003538655
spüszlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
spűmlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
szibánylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
szirlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
sztrajlik / sztrajozik	cselekszenek/cselekednek	iK → VnVk / l__#	0.8083885076159043	NA	NA	1
sztredlik / sztredezik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
sztremlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
sztrijzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
sztritlik / sztritozik	cselekszenek/cselekednek	iK → VnVk / tl__#	0.9588618187208864	NA	NA	1
sztrozlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
sztruglik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
sztrűkszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ks__#	0.812905409770916	0.37409297471948166
szűslik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
sűjlik / sűjözik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
sűzlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
tibarzik / tibarozik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
tiregzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
tomlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
tragzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
treglik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
trehégszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / gs__#	0.9680252852666794	0.33417970300263633
tribejlik / tribejezik	cselekszenek/cselekednek	iK → VtVk / jl__#	0.9523827133112608	NA	NA	1
trihagzik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / __#	0.4765897838793942	0.5048151387587552
triklik / trikozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	NA	NA	1
trilekszik / trilekedik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	siK → edtVk / ek__#	0.6671683832326691	0.5609489960140628
trilszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / s__#	0.5863829779908971	0.45312410514513
trivakszik / trivakodik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → odVnk / ak__#	0.7910111568432924	0.5582821944065152
trugoklik / trugokozik	cselekszenek/cselekednek	iK → VnVk / kl__#	0.9712878119009696	NA	NA	1
trugzik / trugozik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
trukszik / trukodik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	siK → odtVk / __#	0.11401084810748188	0.8820266226514049
trádlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
trálaklik / trálakozik	cselekszenek/cselekednek	iK → VnVk / kl__#	0.9712878119009696	NA	NA	1
trálszik / trálodik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → odVnk / __#	0.13968447082067298	0.8774089643220286
trírzik / trírozik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
trűnylik / trűnyözik	cselekszenek/cselekednek	iK → VnVk / ṉl__#	0.8421201310208906	NA	NA	1
tuboklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
tágarzik / tágarozik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
táklik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
tínylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
töglik / tögözik	cselekszenek/cselekednek	iK → VnVk / gl__#	0.9447216688778396	NA	NA	1
tűgzik / tűgözik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	iK → tVk / z__#	0.9736536503603822	0.46679922890196723
vanylik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
vehékszik / vehékedik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → edVnk / __#	0.13739397049231497	0.8791762913270178
vihapszik / vihapodik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	siK → odVnk / __#	0.13968447082067298	0.8774089643220286
vihepszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / s__#	0.5863829779908971	0.45312410514513
vilakszik	lakok/lakom	iK → Vk / __#	0.48585842724878986	iK → Vm / ks__#	0.812905409770916	0.37409297471948166
vileslik / vilesezik	cselekszenek/cselekednek	iK → Vnk / __#	0.9997501546245636	NA	NA	1
virzik / virozik	cselekszenek/cselekednek	iK → nVk / __#	0.7619153666264512	iK → nVk / z__#	0.864412078359784	0.4684882918106936
vobzik / vobozik	cselekszenek/cselekednek	iK → tVk / __#	0.8524008175566739	iK → tVk / z__#	0.9736536503603822	0.46679922890196723
vülődzik	lakok/lakom	iK → Vk / dz__#	0.7492205435320619	iK → Vm / __#	0.4765897838793942	0.6112043003538655
vűjlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
zödlik	lakok/lakom	iK → Vk / l__#	0.9639743269298298	iK → Vm / __#	0.4765897838793942	0.6691644750113384
